ax,ay,az,gx,gy,gz,temp,time
-324,-4804,17748,2331,288,392,2704,170676
-340,-4788,17652,2794,214,701,2736,170697
-364,-4600,17780,2948,167,653,2640,170718
-356,-4464,17764,2775,279,331,2704,170739
-412,-4372,17916,2394,403,233,2704,170760
-276,-4240,17832,1862,313,174,2784,170781
-384,-4264,17780,1860,327,84,2720,170802
-344,-4188,17832,1923,414,35,2704,170823
-380,-4028,17896,2155,451,-190,2704,170844
-264,-3908,18028,2355,618,-893,2672,170865
-388,-3400,17756,3579,455,-95,2720,170886
-472,-4072,17716,4397,287,350,2720,170907
-444,-3184,17944,4543,334,478,2720,170928
-412,-3336,18084,4874,347,656,2640,170949
-204,-3224,18172,4861,259,625,2736,170970
-332,-3412,18232,4244,380,204,2704,170991
-204,-3108,18232,3838,379,384,2736,171012
-340,-2688,18156,3930,200,797,2704,171033
-320,-2524,18028,4797,35,1497,2736,171054
-392,-2264,18300,5756,20,1907,2720,171075
-548,-1912,18420,5332,136,1397,2736,171096
-276,-2468,18472,4190,271,778,2768,171117
-404,-1640,18532,3056,343,341,2672,171138
-320,-1712,18328,2557,356,371,2720,171159
-284,-1400,18332,2492,285,562,2736,171180
-440,-1492,18400,2188,260,470,2656,171201
-400,-1216,18588,1608,256,249,2704,171222
-324,-1128,18460,1554,330,-208,2720,171243
-364,-1488,18340,1651,312,-183,2720,171264
-240,-1544,18328,1789,369,-158,2768,171285
-552,-1400,18420,2084,238,2,2736,171306
-352,-1208,18440,2062,232,117,2720,171327
-300,-1040,18428,2300,217,224,2784,171348
-372,-876,18488,2086,243,120,2736,171369
-336,-724,18548,1578,270,68,2704,171390
-344,-884,18464,1261,316,85,2736,171411
-380,-820,18420,1300,281,78,2704,171432
-400,-808,18424,1469,248,107,2816,171453
-400,-692,18472,1624,228,238,2736,171474
-352,-588,18440,1486,283,51,2720,171495
-308,-668,18500,1381,223,140,2736,171516
-352,-612,18508,1471,189,180,2768,171537
-300,-192,18464,1585,182,121,2816,171558
-300,-440,18488,1508,189,14,2704,171579
-264,-432,18504,1425,229,15,2720,171600
